Query,Duration,Results Quality,Timestamp,type
Human Genome Project DNA mapping,1.8832712173461914,0.462,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Italian pasta varieties and recipes,1.669173002243042,0.083,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Street food around the world,2.4996237754821777,0.092,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Surrealism art Salvador Dalí,1.747189998626709,0.357,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Mediterranean diet health benefits,1.7524528503417969,0.25,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Civil Rights Movement 1960s protests,2.8090853691101074,0.276,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Manhattan Project atomic bomb,1.4592320919036865,0.31,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Cheese types and production,1.4921379089355469,0.392,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Anime history Japan Studio Ghibli,1.7422449588775635,0.143,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Berlin Wall fall reunification,1.599694013595581,0.09,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Sushi origins Japan,1.2476720809936523,0.139,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
World War I causes consequences,2.751784086227417,0.177,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Higgs Boson discovery physics,1.499587059020996,0.326,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Golden Age of Hollywood films,2.31856632232666,0.177,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Byzantine Empire Constantinople history,1.0735890865325928,0.529,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Turing Machine early computing,1.7934470176696777,0.334,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Theory of Relativity Einstein,1.5360231399536133,0.366,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Mobile phone technology evolution,1.7718009948730469,0.191,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
History of chocolate production,1.2994308471679688,0.177,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Apollo 11 moon landing 1969,1.842128038406372,0.2,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Gothic architecture medieval cathedrals,1.843606948852539,0.654,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Russian Revolution 1917 Bolsheviks,1.4775722026824951,0.366,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Academy Awards history Oscars,2.5139520168304443,0.745,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
Fermentation food preservation techniques,1.284909963607788,0.264,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
History of pizza Italian cuisine,1.288444995880127,0.538,2025-01-26 17:35:09,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.6"
